CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.04.06;Reserva Especial para Dividendos Não Distribuídos;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.04.06;Reserva Especial para Dividendos Não Distribuídos;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.04.07;Reserva de Incentivos Fiscais;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.04.07;Reserva de Incentivos Fiscais;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.04.08;Dividendo Adicional Proposto;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.04.08;Dividendo Adicional Proposto;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.04.09;Ações em Tesouraria;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.04.09;Ações em Tesouraria;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.05;Lucros/Prejuízos Acumulados;-4447316.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.05;Lucros/Prejuízos Acumulados;-4817560.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.06;Ajustes de Avaliação Patrimonial;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.06;Ajustes de Avaliação Patrimonial;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.07;Ajustes Acumulados de Conversão;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.07;Ajustes Acumulados de Conversão;0.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01.08;Outros Resultados Abrangentes;-14096369.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.01.08;Outros Resultados Abrangentes;-8061991.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.02;Patrimônio Líquido Atribuído aos Não Controladores;2761512.0000000000;S
00.000.000/0001-91;2021-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07.02;Patrimônio Líquido Atribuído aos Não Controladores;3358751.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2;Passivo Total;25496999.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2;Passivo Total;31751760.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.01;Passivos Financeiros Avaliados ao Valor Justo através do Resultado;0.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.01;Passivos Financeiros Avaliados ao Valor Justo através do Resultado;0.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.02;Passivos Financeiros ao Custo Amortizado;20597257.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.02;Passivos Financeiros ao Custo Amortizado;25586460.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.02.01;Depósitos;16688080.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.02.01;Depósitos;19035428.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.02.02;Captações no Mercado Aberto;317827.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.02.02;Captações no Mercado Aberto;1335234.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.02.03;Recursos Mercado Interfinanceiro;766193.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.02.03;Recursos Mercado Interfinanceiro;597466.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.02.04;Outras Captações;2825157.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.02.04;Outras Captações;4618332.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.03;Provisões;628947.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.03;Provisões;686843.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.04;Passivos Fiscais;189918.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.04;Passivos Fiscais;426020.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.05;Outros Passivos;1965706.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.05;Outros Passivos;2562769.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.06;Passivos sobre Ativos Não Correntes a Venda e Descontinuados;0.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.06;Passivos sobre Ativos Não Correntes a Venda e Descontinuados;0.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.06.01;Passivos sobre Ativos Não Correntes a Venda;0.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.06.01;Passivos sobre Ativos Não Correntes a Venda;0.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.06.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.06.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07;Patrimônio Líquido Consolidado;2115171.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2021-12-31;2.07;Patrimônio Líquido Consolidado;2489668.0000000000;S
00.000.208/0001-00;2021-12-31;3;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2020-12-31;2.07.01;Patrimônio Líquido Atribuído ao Controlador;1941867.0000000000;S
