CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.03;Resultado Bruto;636884.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.04;Despesas/Receitas Operacionais;-207801.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.04;Despesas/Receitas Operacionais;-146826.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.04.01;Despesas com Vendas;0.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.04.01;Despesas com Vendas;0.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.04.02;Despesas Gerais e Administrativas;-187295.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.04.02;Despesas Gerais e Administrativas;-195177.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.04.04;Outras Receitas Operacionais;0.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.04.04;Outras Receitas Operacionais;3502.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;3.04.05;Outras Despesas Operacionais;-47766.0000000000;S
05.878.397/0001-32;2021-12-31;1;ALIANSCE SONAE SHOPPING CENTERS S.A.;022357;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;3.04.05;Outras Despesas Operacionais;0.0000000000;S
